GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,ABX001,ABX002,ABX003,ABX004,ABX005,ABX006,ABX007,ABX008,ABX009,ABX010,ABX011,ABX012,ABX013,ABX014,ABX015,ABX016,ABX017,ABX018,ABX019,ABX020,ABX021,ABX022,ABX023,ABX024,ABO001,ABO002,ABO003,ABO004,ABO005,ABO006,ABQ001,ABQ002
"G1301370","1830","Georgia","130","Habersham","1370","Habersham",159,185,75,43,4,0,149,172,66,44,12,0,1,3,1,0,0,0,0,0,0,0,0,0,5032,4725,466,443,5,0,909,5
"G1301390","1830","Georgia","130","Hall","1390","Hall",237,191,106,45,21,0,210,195,113,48,15,0,1,0,1,0,1,0,0,1,0,0,0,0,5297,5266,600,581,3,1,1181,4
"G1301410","1830","Georgia","130","Hancock","1410","Hancock",1309,1156,679,426,136,4,1280,1073,616,386,114,1,8,1,7,0,0,0,7,7,3,2,2,0,2319,2284,3710,3470,16,21,7180,37
"G1301450","1830","Georgia","130","Harris","1450","Harris",370,459,218,108,29,0,401,382,185,99,17,1,0,3,0,0,1,0,0,0,0,0,1,0,1519,1312,1184,1085,4,1,2269,5
"G1301510","1830","Georgia","130","Henry","1510","Henry",480,414,190,93,36,0,524,452,219,126,37,0,0,1,2,0,0,0,1,2,0,0,0,0,4091,3898,1213,1358,3,3,2571,6
"G1301530","1830","Georgia","130","Houston","1530","Houston",422,334,180,103,30,0,438,344,217,92,33,1,4,0,3,2,1,0,2,0,2,0,0,0,2666,2495,1069,1125,10,4,2194,14
"G1301550","1830","Georgia","130","Irwin","1550","Irwin",24,15,8,2,2,0,18,17,17,5,1,0,2,2,1,0,0,0,0,0,0,0,0,0,551,515,51,58,5,0,109,5
"G1301570","1830","Georgia","130","Jackson","1570","Jackson",559,457,248,98,25,0,511,462,268,119,36,0,10,6,3,4,2,0,8,4,2,2,0,0,3133,3047,1387,1396,25,16,2783,41
"G1301590","1830","Georgia","130","Jasper","1590","Jasper",1220,1064,514,322,73,2,1136,990,588,340,73,0,5,2,2,7,8,0,0,3,7,4,4,0,3509,3258,3195,3127,24,18,6322,42
"G1301630","1830","Georgia","130","Jefferson","1630","Jefferson",666,504,301,244,85,1,645,529,333,249,89,1,5,10,4,11,4,0,6,7,3,5,3,1,1827,1776,1801,1846,34,25,3647,59
